task_id,mode,rep_index,account_id,status,score,error
incident-inv-docker-shutdown-004,baseline,1,1,completed,1.0000,
incident-inv-docker-shutdown-004,baseline,2,1,completed,0.8750,
incident-inv-docker-shutdown-004,baseline,3,1,completed,0.8750,
incident-inv-docker-shutdown-004,mcp_only,1,1,completed,0.7500,
incident-inv-docker-shutdown-004,mcp_only,2,1,completed,0.8750,
incident-inv-docker-shutdown-004,mcp_only,3,1,completed,0.7500,
incident-inv-docker-shutdown-004,hybrid,1,1,completed,0.8750,
incident-inv-docker-shutdown-004,hybrid,2,1,completed,0.8750,
incident-inv-docker-shutdown-004,hybrid,3,1,completed,0.8750,
error-trace-k8s-nftables-sync-001,baseline,1,1,completed,1.0000,
error-trace-k8s-nftables-sync-001,baseline,2,1,completed,1.0000,
error-trace-k8s-nftables-sync-001,baseline,3,1,completed,0.9167,
error-trace-k8s-nftables-sync-001,mcp_only,1,1,completed,1.0000,
error-trace-k8s-nftables-sync-001,mcp_only,2,1,completed,0.9600,
error-trace-k8s-nftables-sync-001,mcp_only,3,1,completed,1.0000,
error-trace-k8s-nftables-sync-001,hybrid,1,1,completed,1.0000,
error-trace-k8s-nftables-sync-001,hybrid,2,1,completed,1.0000,
error-trace-k8s-nftables-sync-001,hybrid,3,1,completed,1.0000,
support-map-grafana-alerts-004,baseline,1,1,completed,0.7350,
support-map-grafana-alerts-004,baseline,2,1,completed,0.7350,
support-map-grafana-alerts-004,baseline,3,1,completed,0.7200,
support-map-grafana-alerts-004,mcp_only,1,1,completed,0.6425,
support-map-grafana-alerts-004,mcp_only,2,1,completed,0.5650,
support-map-grafana-alerts-004,mcp_only,3,1,completed,0.6425,
support-map-grafana-alerts-004,hybrid,1,1,completed,0.7200,
support-map-grafana-alerts-004,hybrid,2,1,completed,0.7200,
support-map-grafana-alerts-004,hybrid,3,1,completed,0.6575,
config-drift-argocd-redis-ha-004,baseline,1,1,completed,0.0000,
config-drift-argocd-redis-ha-004,baseline,2,1,completed,0.4167,
config-drift-argocd-redis-ha-004,baseline,3,1,completed,0.7500,
config-drift-argocd-redis-ha-004,mcp_only,1,1,completed,0.7500,
config-drift-argocd-redis-ha-004,mcp_only,2,1,completed,0.7500,
config-drift-argocd-redis-ha-004,mcp_only,3,1,completed,0.7500,
config-drift-argocd-redis-ha-004,hybrid,1,1,completed,0.7500,
config-drift-argocd-redis-ha-004,hybrid,2,1,completed,0.7500,
config-drift-argocd-redis-ha-004,hybrid,3,1,completed,0.7500,
